ID,TITLE,ABSTRACT,Computer Science,Physics,Mathematics,Statistics,Quantitative Biology,Quantitative Finance
17659,ADE surfaces and their moduli,"  We define a class of surfaces and surface pairs corresponding to the ADE root
lattices and construct compactifications of their moduli spaces, generalizing
Losev-Manin spaces of curves.
",0,0,1,0,0,0
6202,Matrix Completion and Performance Guarantees for Single Individual Haplotyping,"  Single individual haplotyping is an NP-hard problem that emerges when
attempting to reconstruct an organism's inherited genetic variations using data
typically generated by high-throughput DNA sequencing platforms. Genomes of
diploid organisms, including humans, are organized into homologous pairs of
chromosomes that differ from each other in a relatively small number of variant
positions. Haplotypes are ordered sequences of the nucleotides in the variant
positions of the chromosomes in a homologous pair; for diploids, haplotypes
associated with a pair of chromosomes may be conveniently represented by means
of complementary binary sequences. In this paper, we consider a binary matrix
factorization formulation of the single individual haplotyping problem and
efficiently solve it by means of alternating minimization. We analyze the
convergence properties of the alternating minimization algorithm and establish
theoretical bounds for the achievable haplotype reconstruction error. The
proposed technique is shown to outperform existing methods when applied to
synthetic as well as real-world Fosmid-based HapMap NA12878 datasets.
",0,0,0,1,1,0
20418,Numerical Gaussian Processes for Time-dependent and Non-linear Partial Differential Equations,"  We introduce the concept of numerical Gaussian processes, which we define as
Gaussian processes with covariance functions resulting from temporal
discretization of time-dependent partial differential equations. Numerical
Gaussian processes, by construction, are designed to deal with cases where: (1)
all we observe are noisy data on black-box initial conditions, and (2) we are
interested in quantifying the uncertainty associated with such noisy data in
our solutions to time-dependent partial differential equations. Our method
circumvents the need for spatial discretization of the differential operators
by proper placement of Gaussian process priors. This is an attempt to construct
structured and data-efficient learning machines, which are explicitly informed
by the underlying physics that possibly generated the observed data. The
effectiveness of the proposed approach is demonstrated through several
benchmark problems involving linear and nonlinear time-dependent operators. In
all examples, we are able to recover accurate approximations of the latent
solutions, and consistently propagate uncertainty, even in cases involving very
long time integration.
",1,0,1,1,0,0
4560,Learning Certifiably Optimal Rule Lists for Categorical Data,"  We present the design and implementation of a custom discrete optimization
technique for building rule lists over a categorical feature space. Our
algorithm produces rule lists with optimal training performance, according to
the regularized empirical risk, with a certificate of optimality. By leveraging
algorithmic bounds, efficient data structures, and computational reuse, we
achieve several orders of magnitude speedup in time and a massive reduction of
memory consumption. We demonstrate that our approach produces optimal rule
lists on practical problems in seconds. Our results indicate that it is
possible to construct optimal sparse rule lists that are approximately as
accurate as the COMPAS proprietary risk prediction tool on data from Broward
County, Florida, but that are completely interpretable. This framework is a
novel alternative to CART and other decision tree methods for interpretable
modeling.
",0,0,0,1,0,0
15173,Design Patterns for Fusion-Based Object Retrieval,"  We address the task of ranking objects (such as people, blogs, or verticals)
that, unlike documents, do not have direct term-based representations. To be
able to match them against keyword queries, evidence needs to be amassed from
documents that are associated with the given object. We present two design
patterns, i.e., general reusable retrieval strategies, which are able to
encompass most existing approaches from the past. One strategy combines
evidence on the term level (early fusion), while the other does it on the
document level (late fusion). We demonstrate the generality of these patterns
by applying them to three different object retrieval tasks: expert finding,
blog distillation, and vertical ranking.
",1,0,0,0,0,0
18887,Evaluation of Classical Features and Classifiers in Brain-Computer Interface Tasks,"  Brain-Computer Interface (BCI) uses brain signals in order to provide a new
method for communication between human and outside world. Feature extraction,
selection and classification are among the main matters of concerns in signal
processing stage of BCI. In this article, we present our findings about the
most effective features and classifiers in some brain tasks. Six different
groups of classical features and twelve classifiers have been examined in nine
datasets of brain signal. The results indicate that energy of brain signals in
{\alpha} and \b{eta} frequency bands, together with some statistical parameters
are more effective, comparing to the other types of extracted features. In
addition, Bayesian classifier with Gaussian distribution assumption and also
Support Vector Machine (SVM) show to classify different BCI datasets more
accurately than the other classifiers. We believe that the results can give an
insight about a strategy for blind classification of brain signals in
brain-computer interface.
",1,0,0,1,0,0
6233,Hybrid control strategy for a semi active suspension system using fuzzy logic and bio-inspired chaotic fruit fly algorithm,"  This study proposes a control strategy for the efficient semi active
suspension systems utilizing a novel hybrid PID-fuzzy logic control scheme .In
the control architecture, we employ the Chaotic Fruit Fly Algorithm for PID
tuning since it can avoid local minima by chaotic search. A novel linguistic
rule based fuzzy logic controller is developed to aid the PID.A quarter car
model with a non-linear spring system is used to test the performance of the
proposed control approach. A road terrain is chosen where the comfort and
handling parameters are tested specifically in the regions of abrupt changes.
The results suggest that the suspension systems controlled by the hybrid
strategy has the potential to offer more comfort and handling by reducing the
peak acceleration and suspension distortion by 83.3 % and 28.57% respectively
when compared to the active suspension systems. Also, compared to the
performance of similar suspension control strategies optimized by stochastic
algorithms such as Genetic Algorithms (GA), Particle Swarm Optimization (PSO)
and Bacterial Foraging Optimization (BFO), reductions in peak acceleration and
suspension distortion are found to be 25%, 32.3%, 54.6% and 23.35 %, 22.5%, 5.4
% respectively.The details of the solution methodology have been presented in
the paper.
",1,0,0,0,0,0
1371,Discrete time Pontryagin maximum principle for optimal control problems under state-action-frequency constraints,"  We establish a Pontryagin maximum principle for discrete time optimal control
problems under the following three types of constraints: a) constraints on the
states pointwise in time, b) constraints on the control actions pointwise in
time, and c) constraints on the frequency spectrum of the optimal control
trajectories. While the first two types of constraints are already included in
the existing versions of the Pontryagin maximum principle, it turns out that
the third type of constraints cannot be recast in any of the standard forms of
the existing results for the original control system. We provide two different
proofs of our Pontryagin maximum principle in this article, and include several
special cases fine-tuned to control-affine nonlinear and linear system models.
In particular, for minimization of quadratic cost functions and linear time
invariant control systems, we provide tight conditions under which the optimal
controls under frequency constraints are either normal or abnormal.
",1,0,1,0,0,0
8217,Green function for linearized Navier-Stokes around a boundary layer profile: away from critical layers,"  In this paper, we construct the Green function for the classical
Orr-Sommerfeld equations, which are the linearized Navier-Stokes equations
around a boundary layer profile. As an immediate application, we derive uniform
sharp bounds on the semigroup of the linearized Navier-Stokes problem around
unstable profiles in the vanishing viscosity limit.
",0,0,1,0,0,0
8674,Towards equation of state for a market: A thermodynamical paradigm of economics,"  Foundations of equilibrium thermodynamics are the equation of state (EoS) and
four postulated laws of thermodynamics. We use equilibrium thermodynamics
paradigms in constructing the EoS for microeconomics system that is a market.
This speculation is hoped to be first step towards whole pictures of
thermodynamical paradigm of economics.
",0,0,0,0,0,1
196,Blockchain and human episodic memory,"  We relate the concepts used in decentralized ledger technology to studies of
episodic memory in the mammalian brain. Specifically, we introduce the standard
concepts of linked list, hash functions, and sharding, from computer science.
We argue that these concepts may be more relevant to studies of the neural
mechanisms of memory than has been previously appreciated. In turn, we also
highlight that certain phenomena studied in the brain, namely metacognition,
reality monitoring, and how perceptual conscious experiences come about, may
inspire development in blockchain technology too, specifically regarding
probabilistic consensus protocols.
",0,0,0,0,1,0
15473,Improved Discrete RRT for Coordinated Multi-robot Planning,"  This paper addresses the problem of coordination of a fleet of mobile robots
- the problem of finding an optimal set of collision-free trajectories for
individual robots in the fleet. Many approaches have been introduced during the
last decades, but a minority of them is practically applicable, i.e. fast,
producing near-optimal solutions, and complete. We propose a novel
probabilistic approach based on the Rapidly Exploring Random Tree algorithm
(RRT) by significantly improving its multi-robot variant for discrete
environments. The presented experimental results show that the proposed
approach is fast enough to solve problems with tens of robots in seconds.
Although the solutions generated by the approach are slightly worse than one of
the best state-of-the-art algorithms presented in (ter Mors et al., 2010), it
solves problems where ter Mors's algorithm fails.
",1,0,0,0,0,0
